HourUTC,PriceArea,product,amount,PriceDKK,PriceEUR
2019-05-09T09:00:00+00:00,NO2,Elspot,1,329.97,44.2
2019-05-09T09:00:00+00:00,DK2,Elspot,1,372.74,49.93
2019-05-09T09:00:00+00:00,DK1,Elspot,1,372.74,49.93
2019-05-09T08:00:00+00:00,SYSTEM,Elspot,1,330.64,44.29
2019-05-09T08:00:00+00:00,SE4,Elspot,1,328.7,44.03
2019-05-09T08:00:00+00:00,SE3,Elspot,1,328.7,44.03
2019-05-09T08:00:00+00:00,NO2,Elspot,1,331.24,44.37
2019-05-09T08:00:00+00:00,DK2,Elspot,1,372.89,49.95
2019-05-09T08:00:00+00:00,DK1,Elspot,1,372.89,49.95
2019-05-09T07:00:00+00:00,SYSTEM,Elspot,1,334.22,44.77
2019-05-09T07:00:00+00:00,SE4,Elspot,1,334.07,44.75
2019-05-09T07:00:00+00:00,SE3,Elspot,1,334.07,44.75
2019-05-09T07:00:00+00:00,NO2,Elspot,1,334.07,44.75
2019-05-09T07:00:00+00:00,DK2,Elspot,1,389.61,52.19
2019-05-09T07:00:00+00:00,DK1,Elspot,1,389.61,52.19
2019-05-09T06:00:00+00:00,SYSTEM,Elspot,1,342.06,45.82
2019-05-09T06:00:00+00:00,SE4,Elspot,1,340.94,45.67
2019-05-09T06:00:00+00:00,SE3,Elspot,1,340.94,45.67
2019-05-09T06:00:00+00:00,NO2,Elspot,1,340.94,45.67
2019-05-09T06:00:00+00:00,DK2,Elspot,1,408.05,54.66
2019-05-09T06:00:00+00:00,DK1,Elspot,1,408.05,54.66
2019-05-09T05:00:00+00:00,SYSTEM,Elspot,1,335.94,45
2019-05-09T05:00:00+00:00,SE4,Elspot,1,335.79,44.98
2019-05-09T05:00:00+00:00,SE3,Elspot,1,335.79,44.98
2019-05-09T05:00:00+00:00,NO2,Elspot,1,335.79,44.98
2019-05-09T05:00:00+00:00,DK2,Elspot,1,372.67,49.92
2019-05-09T05:00:00+00:00,DK1,Elspot,1,372.67,49.92
2019-05-09T04:00:00+00:00,SYSTEM,Elspot,1,324.37,43.45
2019-05-09T04:00:00+00:00,SE4,Elspot,1,323.1,43.28
2019-05-09T04:00:00+00:00,SE3,Elspot,1,323.1,43.28
2019-05-09T04:00:00+00:00,NO2,Elspot,1,324.67,43.49
2019-05-09T04:00:00+00:00,DK2,Elspot,1,343.33,45.99
2019-05-09T04:00:00+00:00,DK1,Elspot,1,343.33,45.99
2019-05-09T03:00:00+00:00,SYSTEM,Elspot,1,308.76,41.36
2019-05-09T03:00:00+00:00,SE4,Elspot,1,276.74,37.07
2019-05-09T03:00:00+00:00,SE3,Elspot,1,276.74,37.07
2019-05-09T03:00:00+00:00,NO2,Elspot,1,317.42,42.52
2019-05-09T03:00:00+00:00,DK2,Elspot,1,276.74,37.07
2019-05-09T03:00:00+00:00,DK1,Elspot,1,276.74,37.07
2019-05-09T02:00:00+00:00,SYSTEM,Elspot,1,299.28,40.09
2019-05-09T02:00:00+00:00,SE4,Elspot,1,241.2,32.31
2019-05-09T02:00:00+00:00,SE3,Elspot,1,241.2,32.31
2019-05-09T02:00:00+00:00,NO2,Elspot,1,310.48,41.59
2019-05-09T02:00:00+00:00,DK2,Elspot,1,247.1,33.1
2019-05-09T02:00:00+00:00,DK1,Elspot,1,247.1,33.1
2019-05-09T01:00:00+00:00,SYSTEM,Elspot,1,298.46,39.98
2019-05-09T01:00:00+00:00,SE4,Elspot,1,229.11,30.69
2019-05-09T01:00:00+00:00,SE3,Elspot,1,229.11,30.69
2019-05-09T01:00:00+00:00,NO2,Elspot,1,310.33,41.57
2019-05-09T01:00:00+00:00,DK2,Elspot,1,229.11,30.69
2019-05-09T01:00:00+00:00,DK1,Elspot,1,229.11,30.69
2019-05-09T00:00:00+00:00,SYSTEM,Elspot,1,298.31,39.96
2019-05-09T00:00:00+00:00,SE4,Elspot,1,225.9,30.26
2019-05-09T00:00:00+00:00,SE3,Elspot,1,225.9,30.26
2019-05-09T00:00:00+00:00,NO2,Elspot,1,310.33,41.57
2019-05-09T00:00:00+00:00,DK2,Elspot,1,225.9,30.26
2019-05-09T00:00:00+00:00,DK1,Elspot,1,225.9,30.26
2019-05-08T23:00:00+00:00,SYSTEM,Elspot,1,300.55,40.26
2019-05-08T23:00:00+00:00,SE4,Elspot,1,238.96,32.01
2019-05-08T23:00:00+00:00,SE3,Elspot,1,238.96,32.01
2019-05-08T23:00:00+00:00,NO2,Elspot,1,311.83,41.77
2019-05-08T23:00:00+00:00,DK2,Elspot,1,238.96,32.01
2019-05-08T23:00:00+00:00,DK1,Elspot,1,238.96,32.01
2019-05-08T22:00:00+00:00,SYSTEM,Elspot,1,304.51,40.79
2019-05-08T22:00:00+00:00,SE4,Elspot,1,246.65,33.04
2019-05-08T22:00:00+00:00,SE3,Elspot,1,246.65,33.04
2019-05-08T22:00:00+00:00,NO2,Elspot,1,313.24,41.96
2019-05-08T22:00:00+00:00,DK2,Elspot,1,253.22,33.92
2019-05-08T22:00:00+00:00,DK1,Elspot,1,253.22,33.92
2019-05-08T21:00:00+00:00,SYSTEM,Elspot,1,298.69,40.01
2019-05-08T21:00:00+00:00,SE4,Elspot,1,126.61,16.96
2019-05-08T21:00:00+00:00,SE3,Elspot,1,126.61,16.96
2019-05-08T21:00:00+00:00,NO2,Elspot,1,309.96,41.52
2019-05-08T21:00:00+00:00,DK2,Elspot,1,243.22,32.58
2019-05-08T21:00:00+00:00,DK1,Elspot,1,243.22,32.58
2019-05-08T20:00:00+00:00,SYSTEM,Elspot,1,306.9,41.11
2019-05-08T20:00:00+00:00,SE4,Elspot,1,200.22,26.82
2019-05-08T20:00:00+00:00,SE3,Elspot,1,200.22,26.82
2019-05-08T20:00:00+00:00,NO2,Elspot,1,314.89,42.18
2019-05-08T20:00:00+00:00,DK2,Elspot,1,263.08,35.24
2019-05-08T20:00:00+00:00,DK1,Elspot,1,263.08,35.24
2019-05-08T19:00:00+00:00,SYSTEM,Elspot,1,307.94,41.25
2019-05-08T19:00:00+00:00,SE4,Elspot,1,303.69,40.68
2019-05-08T19:00:00+00:00,SE3,Elspot,1,303.69,40.68
2019-05-08T19:00:00+00:00,NO2,Elspot,1,309.51,41.46
2019-05-08T19:00:00+00:00,DK2,Elspot,1,283.76,38.01
2019-05-08T19:00:00+00:00,DK1,Elspot,1,283.76,38.01
2019-05-08T18:00:00+00:00,SYSTEM,Elspot,1,310.56,41.6
2019-05-08T18:00:00+00:00,SE4,Elspot,1,311.6,41.74
2019-05-08T18:00:00+00:00,SE3,Elspot,1,311.6,41.74
2019-05-08T18:00:00+00:00,NO2,Elspot,1,311.6,41.74
2019-05-08T18:00:00+00:00,DK2,Elspot,1,295.7,39.61
2019-05-08T18:00:00+00:00,DK1,Elspot,1,295.7,39.61
2019-05-08T17:00:00+00:00,SYSTEM,Elspot,1,314.07,42.07
2019-05-08T17:00:00+00:00,SE4,Elspot,1,314.89,42.18
2019-05-08T17:00:00+00:00,SE3,Elspot,1,314.89,42.18
2019-05-08T17:00:00+00:00,NO2,Elspot,1,314.89,42.18
2019-05-08T17:00:00+00:00,DK2,Elspot,1,292.57,39.19
2019-05-08T17:00:00+00:00,DK1,Elspot,1,292.57,39.19
2019-05-08T16:00:00+00:00,SYSTEM,Elspot,1,312.42,41.85
2019-05-08T16:00:00+00:00,SE4,Elspot,1,313.32,41.97
2019-05-08T16:00:00+00:00,SE3,Elspot,1,313.32,41.97
2019-05-08T16:00:00+00:00,NO2,Elspot,1,313.32,41.97
2019-05-08T16:00:00+00:00,DK2,Elspot,1,278.83,37.35
2019-05-08T16:00:00+00:00,DK1,Elspot,1,278.83,37.35
2019-05-08T15:00:00+00:00,SYSTEM,Elspot,1,310.41,41.58
2019-05-08T15:00:00+00:00,SE4,Elspot,1,311.08,41.67
2019-05-08T15:00:00+00:00,SE3,Elspot,1,311.08,41.67
2019-05-08T15:00:00+00:00,NO2,Elspot,1,311.08,41.67
2019-05-08T15:00:00+00:00,DK2,Elspot,1,306.82,41.1
2019-05-08T15:00:00+00:00,DK1,Elspot,1,306.82,41.1
2019-05-08T14:00:00+00:00,SYSTEM,Elspot,1,307.27,41.16
2019-05-08T14:00:00+00:00,SE4,Elspot,1,303.54,40.66
2019-05-08T14:00:00+00:00,SE3,Elspot,1,303.54,40.66
2019-05-08T14:00:00+00:00,NO2,Elspot,1,311.38,41.71
2019-05-08T14:00:00+00:00,DK2,Elspot,1,303.54,40.66
2019-05-08T14:00:00+00:00,DK1,Elspot,1,303.54,40.66
2019-05-08T13:00:00+00:00,SYSTEM,Elspot,1,308.99,41.39
2019-05-08T13:00:00+00:00,SE4,Elspot,1,308.91,41.38
2019-05-08T13:00:00+00:00,SE3,Elspot,1,308.91,41.38
2019-05-08T13:00:00+00:00,NO2,Elspot,1,309.96,41.52
2019-05-08T13:00:00+00:00,DK2,Elspot,1,308.91,41.38
2019-05-08T13:00:00+00:00,DK1,Elspot,1,308.91,41.38
2019-05-08T12:00:00+00:00,SYSTEM,Elspot,1,313.84,42.04
2019-05-08T12:00:00+00:00,SE4,Elspot,1,314.07,42.07
2019-05-08T12:00:00+00:00,SE3,Elspot,1,314.07,42.07
2019-05-08T12:00:00+00:00,NO2,Elspot,1,314.07,42.07
2019-05-08T12:00:00+00:00,DK2,Elspot,1,314.07,42.07
2019-05-08T12:00:00+00:00,DK1,Elspot,1,314.07,42.07
2019-05-08T11:00:00+00:00,SYSTEM,Elspot,1,317.8,42.57
2019-05-08T11:00:00+00:00,SE4,Elspot,1,318.17,42.62
2019-05-08T11:00:00+00:00,SE3,Elspot,1,318.17,42.62
2019-05-08T11:00:00+00:00,NO2,Elspot,1,318.17,42.62
2019-05-08T11:00:00+00:00,DK2,Elspot,1,318.17,42.62
2019-05-08T11:00:00+00:00,DK1,Elspot,1,318.17,42.62
2019-05-08T10:00:00+00:00,SYSTEM,Elspot,1,320.86,42.98
2019-05-08T10:00:00+00:00,SE4,Elspot,1,321.23,43.03
