HourUTC,product,amount,PriceArea,PriceDKK,PriceEUR
2019-05-06T14:00:00+00:00,aFRR_UpActivated,58.7,DK1,407.25,54.55
2019-05-06T13:00:00+00:00,aFRR_DownActivated,32.1,DK1,-105.19,-14.09
2019-05-06T13:00:00+00:00,aFRR_UpActivated,13.5,DK1,406.73,54.48
2019-05-06T12:00:00+00:00,aFRR_DownActivated,17.6,DK1,-79.28,-10.62
2019-05-06T12:00:00+00:00,aFRR_UpActivated,44.9,DK1,414.12,55.47
2019-05-06T11:00:00+00:00,aFRR_DownActivated,45.4,DK1,60.47,8.1
2019-05-06T11:00:00+00:00,aFRR_UpActivated,49.2,DK1,429.87,57.58
2019-05-06T10:00:00+00:00,aFRR_DownActivated,24.9,DK1,231.51,31.01
2019-05-06T10:00:00+00:00,aFRR_UpActivated,48.1,DK1,431.44,57.79
2019-05-06T09:00:00+00:00,aFRR_DownActivated,81,DK1,233.97,31.34
2019-05-06T09:00:00+00:00,aFRR_UpActivated,0.2,DK1,433.9,58.12
2019-05-06T08:00:00+00:00,aFRR_DownActivated,18.3,DK1,-48,-6.43
2019-05-06T08:00:00+00:00,aFRR_UpActivated,59.9,DK1,434.05,58.14
2019-05-06T07:00:00+00:00,aFRR_DownActivated,23.3,DK1,-25.01,-3.35
2019-05-06T07:00:00+00:00,aFRR_UpActivated,35.2,DK1,437.56,58.61
2019-05-06T06:00:00+00:00,aFRR_DownActivated,99.4,DK1,25.01,3.35
2019-05-06T06:00:00+00:00,aFRR_UpActivated,0,DK1,451.22,60.44
2019-05-06T05:00:00+00:00,aFRR_DownActivated,79.9,DK1,271.6,36.38
2019-05-06T05:00:00+00:00,aFRR_UpActivated,0.8,DK1,471.53,63.16
2019-05-06T04:00:00+00:00,aFRR_DownActivated,0,DK1,242.33,32.46
2019-05-06T04:00:00+00:00,aFRR_UpActivated,93.7,DK1,442.26,59.24
2019-05-06T03:00:00+00:00,aFRR_DownActivated,1.7,DK1,171.41,22.96
2019-05-06T03:00:00+00:00,aFRR_UpActivated,0.6,DK1,371.34,49.74
2019-05-06T02:00:00+00:00,aFRR_DownActivated,0.2,DK1,146.92,19.68
