id,Timestamp,Area,Product,Amount,Price_DKK,Price_EUR
73,2019-04-26T09:00:00+00:00,SYSTEM,Elspot,1,330.44,44.26
74,2019-04-26T09:00:00+00:00,SE4,Elspot,1,342.01,45.81
75,2019-04-26T09:00:00+00:00,SE3,Elspot,1,328.05,43.94
76,2019-04-26T09:00:00+00:00,NO2,Elspot,1,328.05,43.94
77,2019-04-26T09:00:00+00:00,DK2,Elspot,1,350.45,46.94
78,2019-04-26T09:00:00+00:00,DK1,Elspot,1,350.45,46.94
79,2019-04-26T08:00:00+00:00,SYSTEM,Elspot,1,332.9,44.59
80,2019-04-26T08:00:00+00:00,SE4,Elspot,1,363.89,48.74
81,2019-04-26T08:00:00+00:00,SE3,Elspot,1,330.66,44.29
82,2019-04-26T08:00:00+00:00,NO2,Elspot,1,330.66,44.29
83,2019-04-26T08:00:00+00:00,DK2,Elspot,1,372.77,49.93
84,2019-04-26T08:00:00+00:00,DK1,Elspot,1,372.77,49.93
85,2019-04-26T07:00:00+00:00,SYSTEM,Elspot,1,335.14,44.89
86,2019-04-26T07:00:00+00:00,SE4,Elspot,1,385.76,51.67
87,2019-04-26T07:00:00+00:00,SE3,Elspot,1,332.61,44.55
88,2019-04-26T07:00:00+00:00,NO2,Elspot,1,332.61,44.55
89,2019-04-26T07:00:00+00:00,DK2,Elspot,1,395.24,52.94
90,2019-04-26T07:00:00+00:00,DK1,Elspot,1,395.24,52.94
91,2019-04-26T06:00:00+00:00,SYSTEM,Elspot,1,336.11,45.02
92,2019-04-26T06:00:00+00:00,SE4,Elspot,1,410.85,55.03
93,2019-04-26T06:00:00+00:00,SE3,Elspot,1,332.46,44.53
94,2019-04-26T06:00:00+00:00,NO2,Elspot,1,332.46,44.53
95,2019-04-26T06:00:00+00:00,DK2,Elspot,1,410.85,55.03
96,2019-04-26T06:00:00+00:00,DK1,Elspot,1,410.85,55.03
97,2019-04-26T05:00:00+00:00,SYSTEM,Elspot,1,333.28,44.64
98,2019-04-26T05:00:00+00:00,SE4,Elspot,1,390.54,52.31
99,2019-04-26T05:00:00+00:00,SE3,Elspot,1,329.47,44.13
100,2019-04-26T05:00:00+00:00,NO2,Elspot,1,329.47,44.13
101,2019-04-25T21:00:00+00:00,DK1,aFRR_DownActivated,57.8,191.5,25.65
102,2019-04-25T21:00:00+00:00,DK1,aFRR_UpActivated,0,391.44,52.43
103,2019-04-25T20:00:00+00:00,DK1,aFRR_DownActivated,57.3,207.63,27.81
104,2019-04-25T20:00:00+00:00,DK1,aFRR_UpActivated,0,407.57,54.59
105,2019-04-25T19:00:00+00:00,DK1,aFRR_DownActivated,73.2,256.76,34.39
106,2019-04-25T19:00:00+00:00,DK1,aFRR_UpActivated,0,456.7,61.17
107,2019-04-25T18:00:00+00:00,DK1,aFRR_DownActivated,59.7,347.24,46.51
108,2019-04-25T18:00:00+00:00,DK1,aFRR_UpActivated,15.4,547.18,73.29
109,2019-04-25T17:00:00+00:00,DK1,aFRR_DownActivated,0,329.25,44.1
110,2019-04-25T17:00:00+00:00,DK1,aFRR_UpActivated,36.5,529.19,70.88
111,2019-04-25T16:00:00+00:00,DK1,aFRR_DownActivated,0,245.11,32.83
112,2019-04-25T16:00:00+00:00,DK1,aFRR_UpActivated,42.9,445.05,59.61
113,2019-04-25T15:00:00+00:00,DK1,aFRR_DownActivated,3.3,207.7,27.82
114,2019-04-25T15:00:00+00:00,DK1,aFRR_UpActivated,24.4,407.64,54.6
115,2019-04-25T14:00:00+00:00,DK1,aFRR_DownActivated,26.6,176.5,23.64
116,2019-04-25T14:00:00+00:00,DK1,aFRR_UpActivated,17.3,376.44,50.42
117,2019-04-25T13:00:00+00:00,DK1,aFRR_DownActivated,0,199.64,26.74
118,2019-04-25T13:00:00+00:00,DK1,aFRR_UpActivated,52.5,399.58,53.52
119,2019-04-25T12:00:00+00:00,DK1,aFRR_DownActivated,0,200.39,26.84
120,2019-04-25T12:00:00+00:00,DK1,aFRR_UpActivated,66.8,400.33,53.62
121,2019-04-25T11:00:00+00:00,DK1,aFRR_DownActivated,0,203.75,27.29
122,2019-04-25T11:00:00+00:00,DK1,aFRR_UpActivated,95.4,403.69,54.07
123,2019-04-25T10:00:00+00:00,DK1,aFRR_DownActivated,13.8,204.64,27.41
124,2019-04-25T10:00:00+00:00,DK1,aFRR_UpActivated,0.3,404.58,54.19
125,2019-04-25T09:00:00+00:00,DK1,aFRR_DownActivated,1.2,207.26,27.76
126,2019-04-25T09:00:00+00:00,DK1,aFRR_UpActivated,47.3,407.2,54.54
127,2019-04-25T08:00:00+00:00,DK1,aFRR_DownActivated,0,208.08,27.87
128,2019-04-25T08:00:00+00:00,DK1,aFRR_UpActivated,96.2,408.02,54.65
129,2019-04-25T07:00:00+00:00,DK1,aFRR_DownActivated,0,231.6,31.02
130,2019-04-25T07:00:00+00:00,DK1,aFRR_UpActivated,89.7,431.53,57.8
131,2019-04-25T06:00:00+00:00,DK1,aFRR_DownActivated,0,259.97,34.82
132,2019-04-25T06:00:00+00:00,DK1,aFRR_UpActivated,46.9,459.91,61.6
133,2019-04-25T05:00:00+00:00,DK1,aFRR_DownActivated,29.1,270.34,36.21
134,2019-04-25T05:00:00+00:00,DK1,aFRR_UpActivated,56.3,470.28,62.99
135,2019-04-25T04:00:00+00:00,DK1,aFRR_DownActivated,39,222.56,29.81
136,2019-04-25T04:00:00+00:00,DK1,aFRR_UpActivated,27.1,422.5,56.59
137,2019-04-25T03:00:00+00:00,DK1,aFRR_DownActivated,0,182.92,24.5
138,2019-04-25T03:00:00+00:00,DK1,aFRR_UpActivated,100,382.86,51.28
139,2019-04-25T02:00:00+00:00,DK1,aFRR_DownActivated,42.2,18.67,2.5
140,2019-04-25T02:00:00+00:00,DK1,aFRR_UpActivated,24.2,333.66,44.69
141,2019-04-25T01:00:00+00:00,DK1,aFRR_DownActivated,56.8,37.33,5
142,2019-04-25T01:00:00+00:00,DK1,aFRR_UpActivated,0,313.87,42.04
143,2019-04-25T00:00:00+00:00,DK1,aFRR_DownActivated,16.1,37.33,5
144,2019-04-25T00:00:00+00:00,DK1,aFRR_UpActivated,9.1,303.19,40.61
145,2019-04-24T23:00:00+00:00,DK1,aFRR_DownActivated,67.2,94.89,12.71
146,2019-04-24T23:00:00+00:00,DK1,aFRR_UpActivated,0,294.83,39.49
147,2019-04-24T22:00:00+00:00,DK1,aFRR_DownActivated,66.1,104.9,14.05
148,2019-04-24T22:00:00+00:00,DK1,aFRR_UpActivated,0,304.84,40.83
149,2019-04-24T21:00:00+00:00,DK1,aFRR_DownActivated,85.8,131.47,17.61
150,2019-04-24T21:00:00+00:00,DK1,aFRR_UpActivated,0,331.4,44.39
151,2019-04-24T20:00:00+00:00,DK1,aFRR_DownActivated,82.3,184.47,24.71
152,2019-04-24T20:00:00+00:00,DK1,aFRR_UpActivated,0,384.4,51.49
153,2019-04-24T19:00:00+00:00,DK1,aFRR_DownActivated,99.9,209.11,28.01
154,2019-04-24T19:00:00+00:00,DK1,aFRR_UpActivated,0,409.04,54.79
155,2019-04-24T18:00:00+00:00,DK1,aFRR_DownActivated,83.7,215.68,28.89
